id,descripcion,created_at,updated_at,deleted_at
1,MALA CONDICION DE LA VIA,2022-07-28 12:00,2022-07-28 12:00,NULL,
2,FALTA DE SEÑALÉTICA,2022-07-28 12:00,2022-07-28 12:00,NULL,
3,OBJETOS EN EL CAMINO,2022-07-28 12:00,2022-07-28 12:00,NULL,
4,CAMINO MOJADO O ENCHARCADO (VIA MOJADA),2022-07-28 12:00,2022-07-28 12:00,NULL,
5,VIA RESBALOSA /PRESENTA UN RIESGO DE RESBALAR FACILMENTE/PROVOCA ,2022-07-28 12:00,2022-07-28 12:00,NULL,
6,FALTA DE ADHERENCIA DEL VEHICULO,2022-07-28 12:00,2022-07-28 12:00,NULL,
7,OBSTRUCCION DE LA VIA POR ANIMALES,2022-07-28 12:00,2022-07-28 12:00,NULL,
8,OTRO,2022-07-28 12:00,2022-07-28 12:00,NULL,
